mood;family;anecdote;is_good;is_bad
en colère;légumes verts;Les légumes verts sont riches en nutriments tels que le folate, le magnésium et la vitamine C, qui peuvent aider à réguler l'humeur et réduire les effets du stress sur le corps. Ils contiennent également des antioxydants qui aident à réduire l'inflammation dans le corps, y compris dans le cerveau, ce qui peut améliorer l'humeur.;true;false
en colère;légumineuses;Les légumineuses sont riches en protéines et en fibres, qui aident à stabiliser les niveaux de sucre dans le sang et à réguler l'humeur. Elles contiennent également des vitamines B, du fer et du magnésium, qui sont connus pour leur capacité à aider à réduire les effets du stress sur le corps.;true;false
en colère;poisson gras;Les poissons gras, tels que le saumon ou le thon, sont riches en acides gras oméga-3, qui ont des effets anti-inflammatoires et peuvent aider à réduire les niveaux de stress et d'anxiété, ce qui peut aider à calmer les émotions négatives comme la colère.;true;false
en colère;baies;Les baies, riches en antioxydants, aident à réduire le stress oxydatif qui peut être augmenté lorsqu'on est en colère. Elles sont également riches en vitamine C, qui soutient le système immunitaire pendant les périodes de stress et de colère.;true;false
en colère;agrumes;Les agrumes, tels que les oranges et les pamplemousses, sont riches en vitamine C, qui peut aider à réduire les niveaux de cortisol (hormone du stress) dans le corps et donc apaiser la colère. De plus, leur arôme peut également aider à améliorer l'humeur.;true;false
en colère;légumes crucifères;Les légumes crucifères comme le brocoli, le chou-fleur et le chou de Bruxelles sont riches en vitamine C et en acide folique, qui aident à réguler l'humeur et à réduire le stress. Ils contiennent également des phytonutriments qui aident à réduire l'inflammation, ce qui peut être utile lorsqu'on est en colère.;true;false
en colère;céréales complètes;Les céréales complètes sont riches en glucides complexes qui fournissent de l'énergie à long terme, aidant à maintenir des niveaux de sucre dans le sang stables. Les fluctuations de sucre dans le sang peuvent contribuer à l'irritabilité et à la colère.;true;false
en colère;produits laitiers;Manger des produits laitiers peut être bénéfique lorsqu'on est en colère, car ils contiennent du tryptophane, un acide aminé qui aide à réguler l'humeur et à réduire le stress et l'anxiété.;true;false
anxieu.x.se;graines;Les graines, comme les graines de tournesol et de citrouille, sont riches en magnésium, qui peut aider à réduire l'anxiété en régulant les niveaux de cortisol. Les graines sont également riches en acides gras oméga-3 qui ont des effets anti-inflammatoires et peuvent aider à améliorer l'humeur.;true;false
anxieu.x.se;poissons gras;Manger des poissons gras comme le saumon, le maquereau ou le thon est bon pour les personnes anxieuses car ils sont riches en oméga-3, des acides gras qui ont des effets bénéfiques sur le système nerveux et aident à réduire l'inflammation.;true;false
anxieu.x.se;légumineuse;Manger des légumineuses comme les lentilles, les pois chiches ou les haricots peut aider à réduire l'anxiété grâce à leur teneur en magnésium et en tryptophane, qui favorisent la relaxation musculaire et la production de sérotonine, un neurotransmetteur lié à l'humeur et au bien-être.;true;false
anxieu.x.se;viandes;Les viandes contiennent des protéines qui aident à réguler les niveaux de sérotonine, un neurotransmetteur impliqué dans la régulation de l'humeur et de l'anxiété. Les viandes contiennent également des vitamines B qui aident à réduire le stress et l'anxiété.;true;false
anxieu.x.se;baies;Manger des baies comme les fraises, les framboises et les mûres est bon quand on est anxieux.se car elles sont riches en antioxydants qui aident à réduire le stress oxydatif et à améliorer l'humeur. De plus, elles sont riches en vitamines et en fibres, ce qui est bénéfique pour la santé mentale et physique.;true;false
anxieu.x.se;agrumes;Les agrumes comme les oranges, les citrons et les pamplemousses sont riches en vitamine C, qui peut aider à réduire le stress et l'anxiété en stabilisant les niveaux de cortisol, l'hormone du stress, dans le corps. Ils ont également des propriétés anti-inflammatoires et antioxydantes bénéfiques pour la santé mentale.;true;false
anxieu.x.se;légumes crucifères;Les légumes crucifères comme le brocoli, le chou-fleur et le chou sont riches en vitamines C et K, qui sont bénéfiques pour réduire le stress oxydatif et l'inflammation, aidant ainsi à réguler l'humeur et à atténuer les symptômes anxieux.;true;false
anxieu.x.se;produits laitiers;Les produits laitiers comme le lait, le fromage et le yaourt sont riches en calcium, qui peut aider à réguler l'humeur et à réduire les symptômes d'anxiété. Leur teneur en protéines peut également contribuer à améliorer l'humeur et à réduire le stress.;true;false
anxieu.x.se;légumes verts;Manger des légumes verts est bon pour les personnes anxieuses car ils sont riches en magnésium, un minéral important pour réguler le système nerveux et réduire les niveaux de stress et d'anxiété. De plus, les légumes verts contiennent également des vitamines B qui contribuent à la production d'énergie et à la réduction de la fatigue, un symptôme courant de l'anxiété.;true;false
anxieu.x.se;viandes rouges;Manger de la viande rouge peut être bénéfique pour les personnes anxieuses car elle contient des acides aminés tels que la tyrosine et la phénylalanine, qui peuvent aider à réguler les niveaux de dopamine et de noradrénaline dans le cerveau, aidant ainsi à améliorer l'humeur et la concentration. Cependant, il est important de ne pas en abuser car cela peut entraîner des effets négatifs sur la santé à long terme.;true;false
anxieu.x.se;céréales complètes;Les céréales complètes sont riches en fibres, ce qui aide à maintenir un taux de sucre dans le sang stable et réduit les fluctuations d'humeur associées à l'anxiété. Les vitamines B qu'elles contiennent peuvent également aider à améliorer l'humeur et à réduire les niveaux de stress.;true;false
enthousiaste;légumes verts;Les légumes verts, tels que les épinards, le chou frisé et la roquette, sont riches en nutriments et en antioxydants, ce qui peut aider à améliorer l'énergie et l'humeur, contribuant ainsi à maintenir un état d'enthousiasme et de bien-être général.;true;false
