mood;ingredient;anecdote;is_good;is_bad
stressé.e;noix;Les noix sont riches en magnésium et en acides gras oméga-3, qui peuvent aider à réduire le stress et à calmer les nerfs.;true;false
stressé.e;avocat;Les avocats sont riches en acide folique, en vitamine B6 et en graisses saines, qui peuvent aider à réguler les hormones du stress et à apaiser les nerfs.;true;false
stressé.e;saumon;Le saumon est riche en acides gras oméga-3, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
stressé.e;oeuf;Les oeufs sont riches en protéines et en acides gras oméga-3, qui peuvent aider à réguler les émotions et à améliorer la fonction cognitive.;true;false
stressé.e;banane;Les bananes sont riches en potassium et en vitamine B6, qui peuvent aider à réguler les hormones du stress et à calmer les nerfs.;true;false
stressé.e;thé vert;Le thé vert est riche en antioxydants et en L-théanine, qui peuvent aider à réduire le stress et à apaiser les nerfs.;true;false
stressé.e;graines de lin;Les graines de lin sont riches en acides gras oméga-3 et en lignanes, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
stressé.e;graines de chia;Les graines de chia sont riches en acides gras oméga-3, en fibres et en protéines, qui peuvent aider à réguler les niveaux de sucre dans le sang et à réduire le stress.;true;false
stressé.e;curcuma;Le curcuma est riche en curcumine, un composé anti-inflammatoire qui peut aider à réduire le stress et à calmer les nerfs.;true;false
stressé.e;épinard;Les épinards sont riches en magnésium et en acide folique, qui peuvent aider à réduire les niveaux de stress et à améliorer l'humeur.;true;false
stressé.e;patate douce;Les patates douces sont riches en bêta-carotène et en vitamine C, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
stressé.e;baie de goji;Les baies de goji sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire le stress et à renforcer le système immunitaire.;true;false
stressé.e;champignon shiitake;Les champignons shiitake sont riches en vitamine D et en polysaccharides, qui peuvent aider à renforcer le système immunitaire et à réduire l'inflammation.;true;false
stressé.e;grenade;Les grenades sont riches en antioxydants, en acide ellagique et en vitamine C, qui peuvent aider à réduire l'inflammation et à renforcer le système immunitaire.;true;false
stressé.e;lait d'amande;Le lait d'amande est riche en magnésium et en acides gras oméga-3, qui peuvent aider à réguler les hormones du stress;true;false
en colère;banane;La banane est riche en nutriments comme le tryptophane et la vitamine B6, qui aident à réguler l'humeur et à convertir le tryptophane en sérotonine. Elle est également une source naturelle de sucre pour augmenter l'énergie et réduire le stress.;true;false
en colère;avocat;L'avocat est riche en acides gras mono-insaturés, qui aident à réguler les niveaux d'hormones de stress. Il contient également des nutriments tels que le potassium et les vitamines B qui aident à maintenir un système nerveux sain et à réduire les effets du stress sur le corps.;true;false
en colère;noix;Les noix sont riches en acides gras oméga-3 et en antioxydants qui aident à réduire l'inflammation dans le corps, y compris dans le cerveau, ce qui peut améliorer l'humeur. Les noix contiennent également du magnésium et des vitamines B, qui sont connus pour leur capacité à aider à réduire les effets du stress sur le corps.;true;false
en colère;épinard;Les épinards sont un excellent choix alimentaire lorsqu'on est en colère, car ils contiennent des nutriments tels que le magnésium et le folate, qui sont liés à la régulation de l'humeur et peuvent aider à réduire les sentiments de colère et de stress.;true;false
en colère;amande;Les amandes sont une excellente source de magnésium, un minéral important pour réguler l'humeur et réduire les sentiments de colère et de stress. De plus, elles contiennent des acides gras sains et des antioxydants qui peuvent aider à réduire l'inflammation dans le corps associée à la colère.;true;false
en colère;graine de citrouille;Les graines de citrouille sont riches en zinc, un minéral important pour réguler les niveaux de cortisol et diminuer les symptômes de l'anxiété et de la colère. Elles contiennent également des acides gras sains et des antioxydants pour aider à calmer l'esprit en colère.;true;false
en colère;thé vert;Le thé vert contient de la L-théanine, un acide aminé qui peut aider à réduire l'anxiété et à améliorer la concentration. Cela peut aider à calmer l'esprit en colère et à favoriser un sentiment de calme et de détente.;true;false
en colère;graines de lin;Les graines de lin sont riches en acides gras oméga-3 qui aident à réduire l'inflammation dans le corps, y compris dans le cerveau, ce qui peut améliorer l'humeur et réduire la colère. Les fibres alimentaires et les antioxydants présents dans les graines de lin peuvent également aider à réduire les niveaux de stress et d'anxiété.;true;false
en colère;orange;Manger une orange peut aider à calmer la colère en raison de sa teneur en vitamine C, qui réduit les niveaux de cortisol (hormone du stress) et favorise la production de dopamine, qui aide à améliorer l'humeur et la relaxation.;true;false
en colère;kiwi;Le kiwi est riche en vitamine C, qui peut aider à réduire les niveaux de cortisol liés au stress. Cela peut aider à réduire les symptômes de la colère et à améliorer l'humeur.;true;false
en colère;poivron rouge;Manger du poivron rouge est bénéfique pour les personnes en colère, car il est riche en vitamine C, qui peut aider à réduire les niveaux de cortisol, une hormone de stress élevée pendant les périodes de colère. De plus, les poivrons rouges contiennent également des antioxydants qui peuvent aider à réduire l'inflammation et le stress oxydatif dans le corps, ce qui peut être élevé pendant les périodes de colère.;true;false
en colère;dinde;Manger de la dinde quand on est en colère est recommandé car elle contient du tryptophane, un acide aminé qui aide à réguler l'humeur en augmentant la production de sérotonine dans le cerveau.;true;false
en colère;oeuf;Les œufs sont riches en tryptophane, un acide aminé qui aide à produire de la sérotonine, un neurotransmetteur qui régule l'humeur. La sérotonine est souvent associée à la régulation de la colère, ce qui en fait un excellent choix pour calmer les émotions.;true;false
en colère;huitre;Manger des huîtres peut aider à réduire le stress et la colère en raison de leur teneur élevée en zinc, qui peut stimuler la production de sérotonine, une substance chimique liée à l'humeur positive. De plus, leur texture et leur goût peuvent apporter une sensation apaisante lorsqu'on les déguste.;true;false
en colère;graine de courge;Lorsqu'on est en colère, le stress peut affecter notre système nerveux. Les graines de courge sont riches en magnésium, qui peut aider à calmer les nerfs et à réduire l'anxiété, aidant ainsi à réguler l'humeur et à réduire les sentiments de colère.;true;false
anxieu.x.se;épinard;Les épinards contiennent des nutriments essentiels pour le bon fonctionnement du système nerveux, aidant à réguler l'humeur et à réduire le stress et l'anxiété. Manger des épinards peut donc aider à se sentir plus calme et détendu lorsque l'on est anxieux.x.se.;true;false
anxieu.x.se;amande;Les amandes sont riches en nutriments qui peuvent aider à réduire les symptômes de l'anxiété, comme le magnésium, la vitamine E et les acides gras oméga-3. En outre, le fait de mâcher des amandes peut aider à soulager le stress et l'anxiété en stimulant la production de sérotonine dans le cerveau.;true;false
anxieu.x.se;noix de cajou;Les noix de cajou sont riches en magnésium, un minéral essentiel qui peut aider à réguler le stress et l'anxiété. Manger des noix de cajou peut donc être bénéfique pour les personnes anxieuses.;true;false
anxieu.x.se;haricot noir;Les haricots noirs sont riches en magnésium, qui peut aider à réduire l'anxiété. De plus, leur teneur élevée en protéines peut aider à stabiliser la glycémie, favorisant ainsi une humeur plus stable pour ceux qui sont anxieux.;true;false
anxieu.x.se;dinde;La dinde est riche en tryptophane, qui aide à produire la sérotonine, un neurotransmetteur associé à la régulation de l'humeur et de l'anxiété. Elle peut donc aider à soulager l'anxiété.;true;false
anxieu.x.se;oeuf;Les œufs sont riches en tryptophane et en protéines, qui aident à réguler l'humeur et à réduire le stress et l'anxiété. De plus, ils contiennent également de la vitamine D qui peut aider à réguler l'humeur.;true;false
anxieu.x.se;banane;La banane est riche en potassium, qui aide à réguler la pression artérielle, et en vitamine B6, qui aide à réguler l'humeur. Ces nutriments peuvent aider à réduire les symptômes d'anxiété et à améliorer l'humeur.;true;false
anxieu.x.se;avocat;Manger de l'avocat peut être bénéfique pour les personnes anxieuses car il contient des graisses saines et des vitamines B, qui aident à réduire le stress et l'anxiété. De plus, sa teneur en potassium peut aider à réguler la tension artérielle, qui peut être affectée par l'anxiété.;true;false
anxieu.x.se;pois chiche;Les pois chiches sont riches en magnésium, un minéral essentiel pour la régulation de l'humeur et de l'anxiété. Ils contiennent également des fibres qui stabilisent le taux de sucre dans le sang, évitant les fluctuations d'humeur et les fringales émotionnelles.;true;false
anxieu.x.se;orange;Les oranges sont riches en vitamine C, qui peut aider à réduire le niveau de cortisol, l'hormone du stress, dans le corps. La consommation d'oranges peut donc aider à réduire les symptômes de l'anxiété.;true;false
anxieu.x.se;kiwi;Les kiwis sont riches en vitamine C et en fibres, ce qui aide à réduire le stress et l'anxiété en régulant les niveaux de cortisol dans le corps. Leur teneur en magnésium et en potassium favorise également la relaxation musculaire.;true;false
anxieu.x.se;poivron rouge;Les poivrons rouges sont riches en vitamine C et en antioxydants, ce qui peut aider à réduire le stress oxydatif dans le corps. Ils contiennent également des vitamines du complexe B qui peuvent soutenir le système nerveux et aider à réguler l'humeur, ce qui peut être bénéfique pour les personnes anxieuses.;true;false
anxieu.x.se;thé vert;Le thé vert contient de la L-théanine, un acide aminé qui peut aider à réduire le stress et l'anxiété en augmentant les niveaux de dopamine et de sérotonine. Sa faible teneur en caféine le rend également apaisant pour le système nerveux.;true;false
anxieu.x.se;huitre;Les huîtres sont riches en zinc, un minéral qui peut aider à réguler l'humeur et réduire l'anxiété. En outre, leur texture et leur goût peuvent aider à apaiser les sens et à induire la relaxation.;true;false
anxieu.x.se;graine de courge;Les graines de courge contiennent du magnésium, qui peut aider à soulager l'anxiété en régulant les niveaux de neurotransmetteurs et en réduisant les symptômes physiques du stress. Elles sont également riches en tryptophane, un acide aminé qui aide à produire de la sérotonine, un neurotransmetteur qui régule l'humeur et l'anxiété.;true;false
anxieu.x.se;carotte;Les carottes contiennent des antioxydants et de la vitamine C qui aident à réduire le stress oxydatif dans le corps. De plus, leur teneur en fibres peut aider à réguler la digestion, ce qui peut contribuer à réduire les niveaux de stress.;true;false
enthousiaste;baie d'açia;La baie d'açai est riche en antioxydants et en nutriments essentiels qui favorisent la santé globale. Cela peut renforcer l'immunité et améliorer la vitalité, aidant ainsi à maintenir un niveau d'enthousiasme élevé.;true;false
enthousiaste;banane;Manger des bananes est excellent pour les personnes enthousiastes car elles contiennent des nutriments qui stimulent la production de sérotonine, une substance qui régule l'humeur et le bien-être mental. De plus, les bananes sont riches en énergie et en potassium, ce qui peut aider à maintenir un niveau d'enthousiasme élevé.;true;false
enthousiaste;poivron rouge;Les poivrons rouges sont riches en vitamine C et en antioxydants, ce qui peut stimuler la production de dopamine et améliorer l'humeur. Les aliments sains peuvent aider à maintenir une énergie stable et soutenir un état d'esprit positif pour rester enthousiaste.;true;false
enthousiaste;noix de cajou;Les noix de cajou sont riches en magnésium, un minéral essentiel qui peut aider à réguler les niveaux d'hormones de stress et à améliorer l'humeur. Ainsi, manger des noix de cajou peut être bénéfique pour maintenir un état d'esprit positif et enthousiaste.;true;false
enthousiaste;curcuma;Le curcuma est connu pour ses propriétés anti-inflammatoires, ce qui peut aider à améliorer l'humeur et la motivation, ce qui est bénéfique pour les personnes enthousiastes et motivées. De plus, ses bienfaits sur la santé globale renforcent cette sensation de bien-être.;true;false
enthousiaste;spiruline;La spiruline est riche en nutriments tels que les protéines, les vitamines et les minéraux, ce qui peut aider à améliorer l'énergie et la vitalité, aidant ainsi à soutenir un état d'esprit enthousiaste.;true;false
enthousiaste;cacao;Le cacao contient de la théobromine, un stimulant qui peut aider à améliorer l'humeur et augmenter l'énergie, ce qui peut être bénéfique pour ceux qui sont enthousiastes. De plus, le cacao contient également des antioxydants et des flavonoïdes, qui peuvent avoir des effets positifs sur la santé en général.;true;false
enthousiaste;quinoa;Le quinoa est riche en protéines, en fer et en magnésium, ce qui peut aider à maintenir une énergie stable et soutenir la fonction cérébrale, ce qui est bénéfique pour rester enthousiaste et motivé. De plus, il est facile à digérer et polyvalent en cuisine.;true;false
enthousiaste;gingembre;Le gingembre est connu pour ses propriétés stimulantes et énergisantes qui peuvent aider à améliorer l'humeur et la concentration. Sa consommation peut ainsi aider à renforcer l'enthousiasme et la motivation.;true;false
enthousiaste;saumon;Le saumon est riche en acides gras oméga-3, qui sont bénéfiques pour la santé mentale et peuvent aider à améliorer l'humeur. Sa consommation régulière peut également favoriser la production de sérotonine, une hormone qui contribue à la régulation de l'humeur et des émotions, ce qui peut aider à maintenir un état d'esprit positif et enthousiaste.;true;false
enthousiaste;lentille;Manger des lentilles peut aider à maintenir une humeur positive car elles sont riches en acide folique, en magnésium et en tryptophane, qui sont tous des nutriments importants pour réguler l'humeur et la production de sérotonine, le neurotransmetteur du bien-être.;true;false
enthousiaste;amande;Manger des amandes peut être bénéfique pour les personnes enthousiastes car elles sont riches en nutriments tels que le magnésium et les vitamines B qui peuvent aider à maintenir l'énergie et l'humeur positive. De plus, les graisses saines dans les amandes peuvent améliorer la santé du cœur et réduire le stress.;true;false
enthousiaste;graine de chia;Manger des graines de chia est très bon quand on est enthousiaste car elles sont riches en nutriments essentiels qui peuvent aider à maintenir l'énergie et la concentration, tout en favorisant une humeur positive grâce à leurs acides gras oméga-3.;true;false
enthousiaste;épinard;Manger des épinards est excellent pour l'enthousiasme car ils contiennent de la vitamine B9, qui aide à produire de la dopamine, un neurotransmetteur associé à la motivation et au plaisir. De plus, les épinards sont riches en fer, qui aide à lutter contre la fatigue.;true;false
enthousiaste;avocat;Manger de l'avocat est très bon quand on est enthousiaste car il est riche en acides gras sains et en vitamines B qui aident à maintenir un système nerveux sain et à réduire le stress. De plus, sa texture crémeuse peut être très satisfaisante pour l'humeur.;true;false
enthousiaste;orange;Manger des oranges peut être bénéfique pour les personnes enthousiastes en raison de leur teneur élevée en vitamine C, qui aide à stimuler le système immunitaire et peut contribuer à réduire le stress et la fatigue.;true;false
enthousiaste;patate douce;Manger de la patate douce est excellent lorsque l'on est enthousiaste car ce légume-racine est riche en vitamines et en antioxydants, ce qui peut aider à maintenir un niveau d'énergie élevé et à soutenir un état d'esprit positif.;true;false
amoureu.x.se;huitre;Les huitres sont riches en zinc, qui peut augmenter la production d'hormones sexuelles.;true;false
amoureu.x.se;fraise;Les fraises sont riche en vitamine C et en antioxydants, qui peuvent améliorer la circulation sanguine.;true;false
amoureu.x.se;gingembre;Le gingembre est un stimulant circulatoire et aphrodisiaque.;true;false
amoureu.x.se;amande;Les amandes sont riches en acides gras essentiels et en vitamine E, qui peuvent aider à stimuler la libido.;true;false
amoureu.x.se;cacao;Le cacao est riche en phényléthylamine, un produit chimique qui peut déclencher la libération d'endorphines et améliorer l'humeur.;true;false
amoureu.x.se;saumon;Le saumon est riche en acides gras oméga-3, qui peuvent aider à stimuler la production d'hormones sexuelles et à améliorer la circulation sanguine.;true;false
amoureu.x.se;avocat;L'avocat est riche en vitamine E et en graisses saines, qui peuvent aider à stimuler la libido et améliorer l'humeur.;true;false
amoureu.x.se;grenade;La grenade est riche en antioxydants, qui peuvent aider à stimuler la circulation sanguine et à améliorer l'humeur.;true;false
amoureu.x.se;vin rouge;Le vin rouge est riche en resvératrol, un antioxydant qui peut améliorer la circulation sanguine et l'humeur.;true;false
amoureu.x.se;truffe;La truffe est considérée comme un aphrodisiaque naturel depuis des siècles.;true;false
amoureu.x.se;huile d'olive;L'huile d'olive est riche en acides gras sains, qui peuvent aider à stimuler la production d'hormones sexuelles.;true;false
amoureu.x.se;cannelle;La cannelle est considérée comme un aphrodisiaque naturel depuis des siècles;true;false
amoureu.x.se;huile essentielle de jasmin;L'huile de jasmin est souvent utilisée pour ses propriétés aphrodisiaques.;true;false
amoureu.x.se;Huile essentielle d'ylang-ylang;L'hule d'ylang-ylang est souvent utilisée pour ses propriétés aphrodisiaques.;true;false
amoureu.x.se;poivre noir;Le poivre noir contient de la pipérine, qui peut aider à améliorer la circulation sanguine.;true;false
amoureu.x.se;betterave;La betterave est riche en nitrate, qui peut aider à améliorer la circulation sanguine.;true;false
amoureu.x.se;roquette;La roquette est riche en vitamine C et en antioxydants, qui peuvent aider à améliorer la circulation sanguine.;true;false
amoureu.x.se;ciboulette;La ciboulette est riche en vitamine C et en antioxydants, qui peuvent aider à améliorer la circulation sanguine.;true;false
amoureu.x.se;artichaut;L'artichaut est riche en antioxydants et en fibres, qui peuvent aider à stimuler la production d'hormones sexuelles.;true;false
amoureu.x.se;miel;Le miel est riche en vitamines et en minéraux, qui peuvent aider à améliorer l'humeur et la circulation sanguine.;true;false
