symptom,ingredient,anecdote
Peau sèche,les produits laitiers,"Les produits laitiers contiennent des acides gras essentiels, des vitamines A et D, et de l'acide lactique, qui aident à hydrater, nourrir et adoucir la peau sèche, en améliorant son apparence et sa texture."
Peau sèche,banane,"Les bananes sont riches en vitamines A, B et E, en potassium et en acides aminés, qui aident à hydrater, nourrir et adoucir la peau sèche, en améliorant son élasticité et son éclat naturel."
Peau sèche,noix,"Les noix sont riches en acides gras essentiels, en vitamine E et en antioxydants, qui aident à hydrater, nourrir et protéger la peau sèche contre les dommages environnementaux, en améliorant sa texture et son élasticité."
Reflux gastrique,haricot vert,"Les haricots verts sont riches en fibres, en potassium et en magnésium, qui aident à réguler l'acidité de l'estomac et à réduire les symptômes de reflux gastro-œsophagien."
Reflux gastrique,épinard,"Les épinards sont riches en fibres solubles et en antioxydants, qui aident à réduire l'inflammation de l'estomac et à améliorer la digestion, en réduisant ainsi les symptômes de reflux gastriques."
Reflux gastrique,courgette,"La courgette est riche en fibres solubles et en eau, qui aident à réguler la digestion, à réduire l'inflammation de l'estomac et à soulager les symptômes de reflux gastriques."
douleurs menstruelles,acides gras,"Les acides gras, tels que les oméga-3 et les oméga-6, ont des propriétés anti-inflammatoires qui aident à réduire les douleurs abdominales associées aux règles."
douleurs menstruelles,fibres ,"Les fibres aident à réguler le transit intestinal, à réduire la constipation et à soulager les douleurs abdominales associées aux règles, en favorisant l'évacuation des déchets du corps."
douleurs menstruelles,fer,"Le fer aide à maintenir un taux d'hémoglobine sain, réduisant ainsi les douleurs abdominales liées aux règles en favorisant l'oxygénation des muscles utérins."
diarée,légume cuit,"Les légumes cuits sont plus facilement digérés que les légumes crus, et contiennent des nutriments et des fibres qui favorisent la régularité intestinale et réduisent les douleurs abdominales et la diarrhée."
diarée,riz,"Le riz est facile à digérer et agit comme un liant naturel, absorbant l'excès d'eau dans les selles, réduisant la diarrhée et apaisant les douleurs abdominales."
Peau grasse,saumon,"Le saumon est riche en acides gras oméga-3, qui régulent la production d'huile dans les glandes sébacées de la peau, réduisant ainsi l'excès de sébum et améliorant la texture de la peau grasse."
Peau grasse,pomme,"La pomme contient des antioxydants et des fibres solubles qui aident à éliminer les toxines, à réduire l'excès de sébum et à maintenir l'équilibre du pH de la peau grasse."
Peau grasse,haricot,"Les haricots sont riches en zinc, en fibres et en protéines, qui aident à réguler la production d'huile dans les glandes sébacées de la peau, réduisant ainsi l'excès de sébum et améliorant la texture de la peau grasse."
Peau grasse,agrume,"Les agrumes, tels que les oranges et les citrons, sont riches en vitamine C et en acides alpha-hydroxy, qui aident à réduire l'excès de sébum et à éclaircir la peau grasse, en exfoliant les cellules mortes de la peau"
Peau grasse,noix,"Les noix sont riches en acides gras oméga-3 et en zinc, qui régulent la production d'huile dans les glandes sébacées de la peau, réduisant ainsi l'excès de sébum et améliorant la texture de la peau grasse."
Mal à la tête,épinard,"Les épinards sont riches en magnésium, qui aide à réguler la dilatation des vaisseaux sanguins dans le cerveau, réduisant ainsi les symptômes de la migraine et du mal de tête."
Mal à la tête,poisson,"Le poisson est riche en acides gras oméga-3, qui ont des propriétés anti-inflammatoires et antioxydantes, réduisant ainsi l'inflammation dans le cerveau et atténuant les symptômes du mal de tête."
Mal à la tête,pastèque,"La pastèque contient de la citrulline, un acide aminé qui aide à détendre les vaisseaux sanguins dans le cerveau, réduisant ainsi la pression artérielle et atténuant les symptômes du mal de tête."
Mal à la tête,pomme de terre,"Les pommes de terre sont riches en potassium, qui aide à réguler l'équilibre des fluides dans le corps, réduisant ainsi la pression artérielle et atténuant les symptômes du mal de tête."
Mal à la tête,amande,"Les amandes sont riches en magnésium et en salicylates naturels, qui aident à réduire l'inflammation dans le cerveau et à soulager les symptômes du mal de tête, notamment la douleur et l'enflure."
Mal à la tête,yaourt,"Le yaourt est riche en calcium, qui aide à réguler la contraction et la relaxation musculaires, réduisant ainsi les spasmes musculaires dans le cerveau et atténuant les symptômes du mal de tête."
Grippe / Rhume,fraise,"Les fraises sont riches en vitamine C et en flavonoïdes, qui stimulent le système immunitaire et aident à combattre les virus responsables de la grippe et du rhume."
Grippe / Rhume,lait,"Le lait est riche en protéines et en vitamine D, qui renforcent le système immunitaire et aident à prévenir et à combattre les infections virales telles que la grippe et le rhume."
Grippe / Rhume,oignon,"Les oignons contiennent des composés antiviraux, antibactériens et anti-inflammatoires qui aident à réduire l'inflammation dans les voies respiratoires et à combattre les virus et les bactéries responsables de la grippe et du rhume."
Grippe / Rhume,noix,"Les noix sont riches en vitamines E et B6, qui renforcent le système immunitaire et aident à prévenir et à combattre les infections virales et bactériennes telles que la grippe et le rhume."
Nausée,thym,"Le thym contient des composés antioxydants et anti-inflammatoires qui aident à calmer l'estomac et à réduire l'inflammation gastro-intestinale, réduisant ainsi les symptômes de nausée et de malaise."
Nausée,gingembre,"Le gingembre contient des composés anti-inflammatoires et antioxydants qui aident à réduire l'inflammation gastro-intestinale et à calmer l'estomac, réduisant ainsi les nausées et les vomissements."
Nausée,menthe poivrée,"La menthe poivrée contient des composés antispasmodiques et analgésiques qui aident à réduire les contractions musculaires dans l'estomac et à calmer l'estomac, soulageant ainsi les nausées et les vomissements."
Nausée,banane,"La banane est riche en potassium et en fibres, ce qui en fait un aliment facile à digérer. Elle peut aider à apaiser l'estomac et à réduire les nausées."
Nausée,riz,"Le riz est facile à digérer et peut aider à absorber l'excès d'acide dans l'estomac, ce qui peut aider à réduire les nausées et les vomissements."
Mal à la gorge,ail,L'ail contient des composés antioxydants et antimicrobiens qui peuvent aider à combattre les infections bactériennes ou virales dans la gorge et à soulager la douleur et l'inflammation.
Mal à la gorge,herbes,"Certaines herbes, comme la sauge, le thym et le fenouil, ont des propriétés antimicrobiennes, anti-inflammatoires et antioxydantes qui peuvent soulager les maux de gorge et réduire l'inflammation."
Mal à la gorge,légume,"Les légumes riches en vitamine C, comme les poivrons, le brocoli et le chou frisé, peuvent aider à renforcer le système immunitaire et à réduire l'inflammation, ce qui peut soulager les maux de gorge."
Mal à la gorge,thé / miel,"Le thé au miel est riche en antioxydants et en propriétés antibactériennes, aidant à apaiser la douleur et à réduire l'inflammation dans la gorge."
Mal au dos,ail,L'ail contient des composés anti-inflammatoires qui peuvent aider à réduire l'inflammation et la douleur dans le dos. Il peut également améliorer la circulation sanguine pour favoriser la guérison et la récupération.
Mal au dos,légume,"Les légumes aident au mal de dos en fournissant des nutriments essentiels pour renforcer les muscles et les os, en réduisant l'inflammation et en améliorant la santé globale."
Mal au dos,thé vert,"Le thé vert contient des composés anti-inflammatoires qui peuvent aider à réduire l'inflammation et la douleur dans le dos. Il peut également améliorer la circulation sanguine, réduisant ainsi la tension musculaire et la douleur."
Mal au dos,céréale complete,Les céréales complètes contiennent des nutriments tels que le magnésium et la vitamine B6 qui peuvent aider à soulager les douleurs au dos et à réduire l'inflammation.
Mal au dos,riz,"Le riz est riche en fibres, en vitamine B et en magnésium, qui aident à réduire l'inflammation et à soulager la douleur au dos. Les fibres maintiennent également un poids santé pour éviter une tension supplémentaire sur la colonne vertébrale."
Mal au foie,fromage chèvre,"Le fromage de chèvre est riche en acides gras insaturés et en antioxydants, qui peuvent aider à améliorer la fonction hépatique et à réduire l'inflammation du foie."
Mal au foie,viande blanche,"La viande blanche, comme le poulet ou la dinde, contient moins de matières grasses que la viande rouge, ce qui peut aider à réduire la charge de travail du foie lors de la digestion."
Mal au foie,pain complet,Le pain complet contient des fibres qui aident à la digestion et à l'élimination des toxines. Il peut également aider à réduire l'inflammation et à protéger le foie.
Mal au foie,agrume,Les agrumes sont riches en vitamine C et en antioxydants qui aident à stimuler le foie pour éliminer les toxines. Ils peuvent aussi aider à prévenir les dommages oxydatifs au foie.
Crampe,lentille,"Les lentilles sont riches en fibres et en potassium, ce qui aide à prévenir les crampes musculaires. Ils contiennent également des antioxydants et du magnésium, qui favorisent la relaxation musculaire et réduisent les inflammations."
Crampe,banane,"La banane aide à prévenir les crampes grâce à son contenu en potassium, un électrolyte essentiel pour les fonctions musculaires et la régulation de l'eau dans le corps."
Crampe,chocolat,"Le chocolat contient du magnésium, qui peut aider à soulager les crampes musculaires. Il peut également améliorer la circulation sanguine et réduire l'inflammation pour un soulagement supplémentaire."
Crampe,fromage blanc,"Le fromage blanc aide aux crampes grâce à son taux élevé de calcium, qui soutient la contraction musculaire et prévient les déséquilibres électrolytiques."
Crampe,viande blanche,"La viande blanche est riche en protéines et en potassium, qui aident à prévenir les crampes musculaires en favorisant la contraction et la relaxation musculaires."
Courbature,betterave rouge,"La betterave rouge contient des composés anti-inflammatoires qui aident à réduire l'inflammation et la douleur, aidant ainsi à soulager les courbatures."
Courbature,cafeine,"La caféine, présente dans le café, peut aider à soulager les courbatures en réduisant l'inflammation et en améliorant la circulation sanguine. Cependant, elle peut aussi déshydrater."
Courbature,noix du Brésil,"Les noix du Brésil contiennent des antioxydants et des acides gras oméga-3 qui peuvent aider à réduire l'inflammation et les douleurs musculaires, y compris les courbatures."
Bouffé de chaleur,courges,Les courges sont riches en vitamine C et en antioxydants qui peuvent aider à réguler la température corporelle et réduire les bouffées de chaleur. Leur teneur élevée en eau peut également aider à maintenir l'hydratation.
Bouffé de chaleur,soja,Le soja contient des phytoestrogènes qui peuvent aider à équilibrer les hormones et réduire les bouffées de chaleur associées à la ménopause chez certaines femmes.
Bouffé de chaleur,tofu,"Le tofu contient des isoflavones, qui peuvent aider à réguler les hormones pendant la ménopause, réduisant ainsi la fréquence et l'intensité des bouffées de chaleur."
Lendemain de cuite,eau,"L'eau aide à prévenir la déshydratation, qui peut survenir après une consommation excessive d'alcool, et réduit les effets néfastes de l'alcool sur le corps en aidant à l'éliminer."
Lendemain de cuite,céréales,"Les céréales sont riches en vitamines B, qui sont épuisées par l'alcool, aidant à soulager la gueule de bois et les symptômes associés tels que la fatigue et les nausées."
Lendemain de cuite,soupe de légume vert ,"La soupe de légumes verts aide contre l'alcool car elle est hydratante, riche en vitamines et minéraux qui réduisent les effets de la déshydratation et renforcent le foie."
Lendemain de cuite,thé rouge,Le thé rouge contient des antioxydants qui peuvent aider à éliminer les toxines de l'alcool. Il peut également aider à réduire les dommages oxydatifs dans le foie causés par la consommation excessive d'alcool.
J'ai les os cassés,sardines,"Les sardines tout comme le saumon et le thon peuvent contribuer à la santé des os car elles sont une source riche en calcium et en vitamine D, deux nutriments importants pour la santé osseuse. Le calcium est un minéral essentiel pour la formation et la croissance des os, tandis que la vitamine D aide le corps à absorber et à utiliser efficacement le calcium."
J'ai les os cassés,graine,"Certaines graines ou comme les produits laitiers sont une bonne source de nutriments importants pour la santé des os, notamment le calcium, le magnésium et le phosphore. Le calcium est nécessaire pour la formation et la croissance des os, tandis que le magnésium et le phosphore sont essentiels pour la santé osseuse."
J'ai les os cassés,salade,"Manger des salades, des choux, du persil et des épinards peut être bénéfique pour la santé globale, ce qui peut indirectement aider à la guérison des os cassés. Ils sont souvent riches en nutriments importants pour la santé, tels que les vitamines, les minéraux, les fibres et les antioxydants."
J'ai mal aux yeux,foie de veau,"Le foie de veau est une source riche en vitamine A, qui est importante pour la santé des yeux. La vitamine A peut aider à prévenir certains problèmes oculaires."
J'ai mal aux yeux,poisson gras,"Le poisson gras, comme le saumon ou le thon, est riche en acides gras oméga-3 qui peuvent aider à prévenir la dégénérescence maculaire et d'autres problèmes oculaires."
J'ai mal aux yeux,brocoli,"Les aliments antioxydants et anti-radicalaires : comme les brocolis sont riches en vitamine C, lutéine et zéaxanthine, ou les carrotes riches en vitamine A et en bêta-carotènequi peuvent aider à prévenir la cataracte et la dégénérescence maculaire, ainsi qu'à maintenir une bonne santé oculaire."
